date,Floating %,90 day bank bill rate,6 months %,1 year %,2 years %,3 years %,4 years %,5 years %
2002-07-04,7.614,5.99,7.13,7.426,7.819,7.91,8.08,8.16
2002-07-11,7.745,6.03,7.11,7.413,7.804,7.91,8.07,8.12
2002-07-18,7.79,6.01,7.12,7.335,7.599,7.8,7.91,7.95
2002-07-25,7.813,5.96,7.12,7.345,7.569,7.78,7.89,7.94
2002-08-01,7.813,5.89,7.11,7.331,7.559,7.74,7.86,7.93
2002-08-08,7.799,5.86,7.09,7.304,7.524,7.7,7.81,7.87
2002-08-15,7.758,5.87,6.96,7.213,7.424,7.59,7.66,7.76
2002-08-22,7.705,5.89,6.92,7.176,7.364,7.52,7.64,7.7
2002-08-29,7.705,5.87,6.92,7.154,7.354,7.51,7.64,7.7
2002-09-05,7.705,5.85,6.92,7.154,7.354,7.51,7.64,7.7
2002-09-12,7.705,5.87,6.92,7.13,7.354,7.51,7.64,7.7
2002-09-19,7.677,5.85,6.92,7.112,7.323,7.51,7.64,7.7
2002-09-26,7.677,5.87,6.91,6.981,7.283,7.48,7.61,7.67
2002-10-03,7.677,5.86,6.9,6.941,7.263,7.44,7.56,7.62
2002-10-10,7.677,5.86,6.89,6.932,7.154,7.31,7.38,7.5
2002-10-17,7.677,5.9,6.79,6.927,7.114,7.24,7.37,7.38
2002-10-24,7.677,5.89,6.79,6.873,7.069,7.26,7.41,7.47
2002-10-31,7.677,5.91,6.79,6.868,7.059,7.24,7.41,7.47
2002-11-07,7.677,5.89,6.79,6.895,6.97,7.22,7.38,7.5
2002-11-14,7.677,5.88,6.79,6.895,6.94,7.21,7.38,7.49
2002-11-21,7.677,5.9,6.78,6.886,6.92,7.2,7.38,7.49
2002-11-28,7.677,5.92,6.88,6.886,6.95,7.21,7.4,7.51
2002-12-05,7.677,5.92,6.88,6.886,6.95,7.23,7.42,7.53
2002-12-12,7.677,5.93,6.88,6.895,6.985,7.26,7.43,7.57
2002-12-19,7.677,5.92,6.88,6.886,7.039,7.27,7.45,7.58
2002-12-26,7.677,5.93,6.88,6.868,7.099,7.28,7.46,7.59
2003-01-02,7.677,5.92,6.88,6.868,7.099,7.28,7.46,7.59
2003-01-09,7.677,5.91,6.88,6.868,7.119,7.28,7.46,7.59
2003-01-16,7.677,5.85,6.88,6.859,7.119,7.28,7.46,7.59
2003-01-23,7.677,5.81,6.78,6.832,7.119,7.28,7.46,7.59
2003-01-30,7.677,5.84,6.78,6.809,7.109,7.27,7.46,7.57
2003-02-06,7.677,5.82,6.77,6.773,7.009,7.2,7.36,7.45
2003-02-13,7.677,5.84,6.72,6.727,6.859,6.99,7.12,7.27
2003-02-20,7.677,5.83,6.63,6.727,6.859,6.93,7.08,7.25
2003-02-27,7.677,5.77,6.63,6.705,6.849,6.91,7.08,7.25
2003-03-06,7.677,5.78,6.72,6.705,6.849,6.91,7.05,7.16
2003-03-13,7.677,5.84,6.8,6.664,6.824,6.89,6.95,7.0
2003-03-20,7.677,5.84,6.8,6.664,6.824,6.89,6.96,6.99
2003-03-27,7.677,5.84,6.8,6.664,6.834,6.92,7.0,7.07
2003-04-03,7.677,5.8,6.8,6.664,6.834,6.93,7.05,7.11
2003-04-10,7.677,5.77,6.8,6.645,6.834,6.94,7.09,7.16
2003-04-17,7.677,5.77,6.8,6.627,6.824,6.92,7.09,7.15
2003-04-24,7.608,5.52,6.73,6.609,6.794,6.9,7.11,7.16
2003-05-01,7.508,5.48,6.52,6.486,6.655,6.79,6.99,7.07
2003-05-08,7.467,5.44,6.43,6.436,6.62,6.76,6.98,7.04
2003-05-15,7.467,5.4,6.43,6.432,6.62,6.76,6.98,7.04
2003-05-22,7.467,5.3,6.35,6.4,6.418,6.71,6.93,6.96
2003-05-29,7.467,5.23,6.3,6.318,6.266,6.62,6.84,6.88
2003-06-05,7.412,5.25,6.23,6.222,6.252,6.51,6.74,6.8
2003-06-12,7.235,5.26,6.18,6.187,6.242,6.48,6.71,6.71
2003-06-19,7.235,5.2,6.16,6.165,6.187,6.35,6.48,6.56
2003-06-26,7.235,5.26,6.16,6.144,6.121,6.29,6.4,6.49
2003-07-03,7.208,5.19,6.16,6.116,6.124,6.29,6.4,6.49
2003-07-10,7.208,5.12,6.15,6.107,6.138,6.28,6.44,6.52
2003-07-17,7.208,5.08,6.15,6.107,6.147,6.32,6.55,6.63
2003-07-24,7.141,5.05,6.14,6.093,6.175,6.38,6.66,6.74
2003-07-31,7.014,5.06,6.15,6.1,6.236,6.47,6.71,6.77
2003-08-07,6.995,5.08,6.12,6.129,6.386,6.64,6.86,6.9
2003-08-14,6.973,5.13,6.15,6.157,6.473,6.73,6.99,7.0
2003-08-21,6.973,5.14,6.18,6.175,6.668,6.93,7.13,7.27
2003-08-28,6.973,5.12,6.18,6.249,6.699,6.95,7.17,7.31
2003-09-04,6.986,5.14,6.18,6.291,6.722,6.97,7.21,7.35
2003-09-11,6.986,5.14,6.18,6.291,6.722,6.97,7.21,7.35
2003-09-18,6.986,5.16,6.18,6.336,6.767,6.97,7.25,7.35
2003-09-25,6.98,5.17,6.17,6.35,6.774,6.97,7.25,7.36
2003-10-02,6.98,5.16,6.17,6.345,6.774,6.97,7.24,7.36
2003-10-09,6.98,5.16,6.16,6.334,6.744,6.94,7.24,7.35
2003-10-16,6.98,5.19,6.16,6.364,6.794,6.98,7.27,7.38
2003-10-23,6.98,5.22,6.18,6.488,6.949,7.17,7.37,7.49
2003-10-30,6.98,5.24,6.2,6.589,7.044,7.27,7.46,7.54
2003-11-06,6.98,5.32,6.26,6.619,7.074,7.31,7.49,7.57
2003-11-13,6.995,5.4,6.44,6.69,7.169,7.41,7.61,7.66
2003-11-20,6.995,5.39,6.57,6.81,7.29,7.54,7.68,7.73
2003-11-27,6.995,5.38,6.62,6.83,7.315,7.57,7.68,7.73
2003-12-04,6.995,5.27,6.62,6.83,7.315,7.57,7.68,7.73
2003-12-11,7.07,5.29,6.62,6.83,7.315,7.57,7.68,7.73
2003-12-18,7.1,5.32,6.62,6.88,7.375,7.57,7.68,7.73
2003-12-25,7.1,5.33,6.62,6.88,7.375,7.57,7.68,7.73
2004-01-01,7.1,5.35,6.62,6.88,7.375,7.57,7.68,7.73
2004-01-08,7.1,5.34,6.62,6.875,7.375,7.57,7.68,7.73
2004-01-15,7.135,5.3,6.62,6.875,7.365,7.56,7.66,7.71
2004-01-22,7.135,5.33,6.62,6.875,7.355,7.54,7.66,7.69
2004-01-29,7.18,5.55,6.61,6.875,7.335,7.52,7.64,7.67
2004-02-05,7.255,5.6,6.61,6.885,7.325,7.49,7.62,7.66
2004-02-12,7.375,5.57,6.66,6.885,7.305,7.47,7.61,7.64
2004-02-19,7.375,5.59,6.67,6.885,7.114,7.44,7.58,7.62
2004-02-26,7.4,5.59,6.67,6.865,6.994,7.43,7.56,7.61
2004-03-04,7.4,5.63,6.67,6.86,7.014,7.41,7.55,7.58
2004-03-11,7.4,5.48,6.67,6.86,7.014,7.41,7.55,7.58
2004-03-18,7.4,5.52,6.68,6.74,6.854,7.05,7.23,7.27
2004-03-25,7.4,5.51,6.63,6.715,6.819,7.01,7.16,7.21
2004-04-01,7.4,5.51,6.63,6.67,6.819,6.92,7.13,7.19
2004-04-08,7.4,5.54,6.63,6.66,6.794,6.94,7.15,7.22
2004-04-15,7.4,5.59,6.64,6.715,6.888,7.08,7.22,7.33
2004-04-22,7.4,5.58,6.64,6.73,6.902,7.11,7.29,7.38
2004-04-29,7.45,5.77,6.64,6.73,6.902,7.11,7.29,7.38
2004-05-06,7.55,5.83,6.8,6.885,7.033,7.16,7.39,7.46
2004-05-13,7.625,5.87,6.86,6.94,7.304,7.3,7.46,7.54
2004-05-20,7.625,5.94,6.88,6.979,7.149,7.35,7.56,7.61
2004-05-27,7.625,5.94,6.89,6.968,7.184,7.41,7.6,7.64
2004-06-03,7.625,5.97,6.86,6.929,7.24,7.48,7.62,7.68
2004-06-10,7.685,6.04,6.89,6.954,7.26,7.49,7.64,7.69
2004-06-17,7.87,6.13,6.92,6.999,7.28,7.51,7.66,7.71
2004-06-24,7.895,6.15,7.01,7.115,7.38,7.58,7.75,7.78
2004-07-01,7.92,6.23,7.08,7.24,7.465,7.62,7.77,7.81
2004-07-08,7.92,6.21,7.08,7.24,7.465,7.62,7.77,7.81
2004-07-15,7.92,6.24,7.08,7.24,7.465,7.62,7.77,7.81
2004-07-22,7.92,6.27,7.08,7.24,7.465,7.62,7.77,7.81
2004-07-29,7.92,6.32,7.11,7.265,7.459,7.62,7.77,7.81
2004-08-05,8.086,6.39,7.25,7.364,7.522,7.62,7.78,7.82
2004-08-12,8.155,6.42,7.37,7.427,7.525,7.63,7.78,7.82
2004-08-19,8.177,6.46,7.38,7.373,7.512,7.64,7.78,7.82
2004-08-26,8.177,6.48,7.38,7.332,7.512,7.64,7.78,7.82
2004-09-02,8.177,6.55,7.38,7.305,7.539,7.64,7.78,7.82
2004-09-09,8.2,6.59,7.44,7.336,7.553,7.67,7.78,7.82
2004-09-16,8.336,6.68,7.59,7.463,7.591,7.7,7.77,7.79
2004-09-23,8.427,6.69,7.64,7.575,7.614,7.7,7.77,7.79
2004-09-30,8.427,6.74,7.64,7.598,7.614,7.7,7.77,7.79
2004-10-07,8.427,6.76,7.64,7.607,7.618,7.7,7.77,7.79
2004-10-14,8.427,6.75,7.64,7.607,7.586,7.7,7.76,7.78
2004-10-21,8.427,6.74,7.66,7.622,7.385,7.66,7.71,7.71
2004-10-28,8.427,6.72,7.66,7.595,7.345,7.66,7.71,7.71
2004-11-04,8.45,6.74,7.66,7.581,7.322,7.65,7.68,7.68
2004-11-11,8.605,6.74,7.66,7.508,7.299,7.65,7.68,7.68
2004-11-18,8.627,6.73,7.66,7.485,7.089,7.65,7.68,7.68
2004-11-25,8.627,6.69,7.66,7.485,7.08,7.65,7.68,7.68
2004-12-02,8.627,6.66,7.64,7.435,7.08,7.63,7.68,7.68
2004-12-09,8.627,6.7,7.64,7.435,7.08,7.63,7.68,7.68
2004-12-16,8.627,6.73,7.64,7.449,7.225,7.63,7.67,7.68
2004-12-23,8.627,6.73,7.65,7.559,7.526,7.64,7.68,7.64
2004-12-30,8.627,6.75,7.64,7.555,7.517,7.64,7.68,7.64
2005-01-06,8.627,6.75,7.64,7.609,7.582,7.64,7.68,7.64
2005-01-13,8.627,6.73,7.66,7.586,7.591,7.64,7.68,7.64
2005-01-20,8.627,6.8,7.66,7.591,7.6,7.64,7.68,7.64
2005-01-27,8.627,6.76,7.66,7.591,7.6,7.64,7.68,7.64
2005-02-03,8.627,6.78,7.67,7.614,7.623,7.67,7.69,7.66
2005-02-10,8.627,6.86,7.67,7.614,7.623,7.68,7.7,7.67
2005-02-17,8.627,6.85,7.69,7.641,7.659,7.7,7.71,7.7
2005-02-24,8.627,6.85,7.72,7.682,7.677,7.72,7.74,7.72
2005-03-03,8.65,6.87,7.72,7.677,7.691,7.74,7.76,7.74
2005-03-10,8.673,7.04,7.72,7.677,7.691,7.74,7.76,7.74
2005-03-17,8.786,7.05,7.83,7.695,7.691,7.83,7.87,7.84
2005-03-24,8.864,7.04,7.86,7.709,7.691,7.85,7.92,7.88
2005-03-31,8.886,7.08,7.88,7.718,7.691,7.87,7.94,7.91
2005-04-07,8.905,7.09,7.93,7.732,7.714,7.89,7.99,7.95
2005-04-14,8.905,7.04,7.95,7.745,7.718,7.9,8.05,8.0
2005-04-21,8.905,7.01,7.95,7.745,7.718,7.9,8.05,8.0
2005-04-28,8.905,7.01,7.92,7.745,7.718,7.87,8.01,7.97
2005-05-05,8.905,7.07,7.88,7.745,7.718,7.83,7.92,7.88
2005-05-12,8.905,7.02,7.87,7.745,7.718,7.78,7.8,7.78
2005-05-19,8.905,7.02,7.87,7.745,7.7,7.78,7.8,7.78
2005-05-26,8.905,7.07,7.87,7.745,7.7,7.78,7.8,7.74
2005-06-02,8.905,7.03,7.87,7.745,7.682,7.7,7.75,7.72
2005-06-09,8.905,7.03,7.88,7.755,7.632,7.65,7.68,7.66
2005-06-16,8.905,7.04,7.91,7.786,7.618,7.62,7.63,7.61
2005-06-23,8.905,7.03,7.91,7.786,7.605,7.59,7.61,7.59
2005-06-30,8.905,7.03,7.91,7.795,7.605,7.59,7.61,7.59
2005-07-07,8.905,7.03,7.93,7.814,7.609,7.59,7.59,7.5
2005-07-14,8.905,7.02,7.94,7.814,7.609,7.59,7.58,7.48
2005-07-21,8.905,7.02,7.95,7.841,7.591,7.58,7.57,7.46
2005-07-28,8.905,7.03,7.95,7.859,7.591,7.58,7.57,7.46
2005-08-04,8.905,7.03,7.95,7.859,7.595,7.58,7.57,7.49
2005-08-11,8.905,7.04,7.95,7.859,7.595,7.58,7.57,7.5
2005-08-18,8.905,7.04,7.95,7.859,7.605,7.58,7.57,7.52
2005-08-25,8.905,7.04,7.93,7.841,7.605,7.57,7.55,7.51
2005-09-01,8.905,7.04,7.93,7.832,7.591,7.56,7.55,7.49
2005-09-08,8.905,7.05,7.93,7.832,7.586,7.53,7.5,7.47
2005-09-15,8.905,7.08,7.93,7.832,7.586,7.51,7.5,7.46
2005-09-22,8.905,7.1,7.94,7.85,7.618,7.51,7.48,7.42
2005-09-29,8.905,7.23,7.98,7.9,7.673,7.55,7.49,7.43
2005-10-06,8.905,7.23,8.04,8.023,7.786,7.71,7.66,7.57
2005-10-13,8.905,7.26,8.08,8.054,7.809,7.74,7.69,7.58
2005-10-20,8.905,7.33,8.08,8.095,7.818,7.75,7.7,7.59
2005-10-27,8.932,7.36,8.14,8.163,7.916,7.86,7.81,7.66
2005-11-03,9.145,7.42,8.22,8.214,8.004,7.95,7.88,7.72
2005-11-10,9.145,7.56,8.26,8.245,8.045,8.0,7.95,7.76
2005-11-17,9.145,7.55,8.36,8.332,8.1,8.08,7.98,7.84
2005-11-24,9.145,7.65,8.42,8.382,8.164,8.13,8.04,7.87
2005-12-01,9.145,7.69,8.46,8.423,8.191,8.16,8.08,7.93
2005-12-08,9.173,7.64,8.46,8.45,8.227,8.16,8.08,7.93
2005-12-15,9.4,7.65,8.49,8.455,8.232,8.16,8.08,7.94
2005-12-22,9.423,7.66,8.49,8.455,8.241,8.16,8.07,7.93
2005-12-29,9.423,7.68,8.49,8.455,8.241,8.16,8.07,7.93
2006-01-05,9.423,7.66,8.49,8.455,8.241,8.16,8.07,7.93
2006-01-12,9.423,7.68,8.5,8.468,8.181,8.12,8.08,7.94
2006-01-19,9.423,7.62,8.5,8.468,8.126,8.02,8.03,7.93
2006-01-26,9.423,7.63,8.52,8.468,8.08,7.98,8.0,7.92
2006-02-02,9.423,7.54,8.52,8.459,8.057,7.91,7.94,7.83
2006-02-09,9.423,7.53,8.52,8.459,8.05,7.88,7.91,7.72
2006-02-16,9.423,7.51,8.51,8.432,8.018,7.86,7.91,7.71
2006-02-23,9.423,7.51,8.42,8.373,7.932,7.79,7.85,7.63
2006-03-02,9.423,7.51,8.41,8.373,7.927,7.79,7.85,7.62
2006-03-09,9.423,7.52,8.41,8.373,7.927,7.79,7.85,7.61
2006-03-16,9.445,7.48,8.41,8.368,7.868,7.78,7.84,7.61
2006-03-23,9.445,7.47,8.41,8.368,7.827,7.78,7.84,7.61
2006-03-30,9.445,7.47,8.33,8.24,7.755,7.67,7.68,7.56
2006-04-06,9.445,7.46,8.22,8.175,7.705,7.58,7.56,7.51
2006-04-13,9.445,7.48,8.22,8.175,7.705,7.58,7.56,7.51
2006-04-20,9.445,7.46,8.23,8.167,7.691,7.59,7.56,7.51
2006-04-27,9.445,7.5,8.23,8.181,7.764,7.65,7.63,7.59
2006-05-04,9.445,7.5,8.24,8.195,7.805,7.68,7.66,7.62
2006-05-11,9.445,7.5,8.25,8.2,7.84,7.76,7.74,7.69
2006-05-18,9.445,7.48,8.25,8.223,7.871,7.77,7.76,7.72
2006-05-25,9.445,7.48,8.26,8.232,7.879,7.79,7.78,7.74
2006-06-01,9.445,7.48,8.27,8.245,7.879,7.79,7.79,7.75
2006-06-08,9.445,7.48,8.27,8.232,7.889,7.78,7.81,7.75
2006-06-15,9.445,7.49,8.27,8.236,7.916,7.83,7.82,7.76
2006-06-22,9.445,7.47,8.32,8.268,7.925,7.88,7.87,7.8
2006-06-29,9.445,7.46,8.35,8.295,7.935,7.91,7.89,7.81
2006-07-06,9.445,7.46,8.39,8.305,7.935,7.91,7.9,7.8
2006-07-13,9.445,7.48,8.39,8.314,7.935,7.91,7.9,7.8
2006-07-20,9.445,7.49,8.42,8.391,8.145,8.07,8.03,7.9
2006-07-27,9.445,7.47,8.46,8.427,8.227,8.14,8.1,7.96
2006-08-03,9.445,7.47,8.45,8.418,8.214,8.12,8.1,7.94
2006-08-10,9.44,7.48,8.44,8.375,8.049,7.93,7.88,7.77
2006-08-17,9.44,7.49,8.44,8.405,8.069,7.95,7.89,7.8
2006-08-24,9.44,7.48,8.44,8.385,8.079,7.95,7.91,7.81
2006-08-31,9.44,7.49,8.41,8.365,8.069,7.94,7.89,7.8
2006-09-07,9.44,7.5,8.41,8.365,8.073,7.94,7.89,7.79
2006-09-14,9.44,7.67,8.41,8.365,8.073,7.91,7.87,7.79
2006-09-21,9.44,7.55,8.41,8.37,8.073,7.92,7.87,7.79
2006-09-28,9.44,7.62,8.41,8.365,8.033,7.91,7.88,7.7
2006-10-05,9.44,7.66,8.34,8.285,7.996,7.88,7.84,7.55
2006-10-12,9.44,7.66,8.34,8.285,7.978,7.89,7.85,7.69
2006-10-19,9.44,7.75,8.37,8.345,8.037,7.94,7.9,7.73
2006-10-26,9.44,7.57,8.39,8.365,8.048,7.95,7.9,7.74
2006-11-02,9.44,7.57,8.39,8.365,8.059,7.95,7.9,7.74
2006-11-09,9.44,7.6,8.39,8.395,8.089,7.97,7.93,7.78
2006-11-16,9.44,7.61,8.41,8.425,8.094,7.98,7.93,7.78
2006-11-23,9.44,7.63,8.41,8.425,8.094,7.98,7.93,7.78
2006-11-30,9.44,7.61,8.41,8.43,8.11,7.98,7.95,7.78
2006-12-07,9.44,7.64,8.41,8.43,8.1,7.98,7.95,7.77
2006-12-14,9.44,7.66,8.41,8.43,8.1,7.97,7.95,7.78
